name,email,scraped_phone,original_phone,contact_name,address,website,category,rating,url
American Light Company,amerlight@americanlightco.com,"740-452-3676, 740-454-6870, 800-426-3742, 740-452-3676
800-426","
(740) 452-3676",,"
122 Main St, Zanesville, OH 43701",https://www.americanlightco.com/,Electrical supply store,4.7,https://www.google.com/maps/place/American+Light+Company/data=!4m7!3m6!1s0x8837ee6e48138ba5:0x6f5b4b94190c13dc!8m2!3d39.9400847!4d-82.0107753!16s%2Fg%2F1tp8_q37!19sChIJpYsTSG7uN4gR3BMMGZRLW28?authuser=0&hl=en&rclk=1
Logic Electric Inc,,,"
(740) 872-3428",,"
1665 Long Rd, Zanesville, OH 43701",,Electrician,,https://www.google.com/maps/place/Logic+Electric+Inc/data=!4m7!3m6!1s0x8837c2204d6f396d:0xfea40827de986686!8m2!3d39.9425529!4d-81.843781!16s%2Fg%2F1tf24rc8!19sChIJbTlvTSDCN4gRhmaY3icIpP4?authuser=0&hl=en&rclk=1
Lewis & Son Electric,,,"
(740) 452-0285",,"
3989 Frazeysburg Rd, Zanesville, OH 43701",,Electrician,1.0,https://www.google.com/maps/place/Lewis+%26+Son+Electric/data=!4m7!3m6!1s0x8837ed7c1a387d33:0x211c5ea5d718a8ee!8m2!3d40.0015101!4d-82.0359367!16s%2Fg%2F1wj_tyhp!19sChIJM304GnztN4gR7qgY16VeHCE?authuser=0&hl=en&rclk=1
Legacy Electric of Ohio,"luke@legacyelectricohio.com, flags@2x.png",740.297.6225,"
(740) 297-6225",,,https://legacyelectricohio.com/,Electrician,5.0,https://www.google.com/maps/place/Legacy+Electric+of+Ohio/data=!4m7!3m6!1s0x27a3fd3da68c7523:0x598e811d9a0547c2!8m2!3d39.9881924!4d-82.12657!16s%2Fg%2F11m5smyn_w!19sChIJI3WMpj39oycRwkcFmh2Bjlk?authuser=0&hl=en&rclk=1
James Electric and Security,,,"
(740) 454-7233",,"
435 Linden Ave, Zanesville, OH 43701",http://www.jameselectricandsecurity.com/,Electrician,5.0,https://www.google.com/maps/place/James+Electric+and+Security/data=!4m7!3m6!1s0x8837ee7210685ed7:0x70ab17e0d3648209!8m2!3d39.9426244!4d-82.0140874!16s%2Fg%2F11b6g95sb2!19sChIJ115oEHLuN4gRCYJk0-AXq3A?authuser=0&hl=en&rclk=1
Electric Service,,,,,"
830 Clay St, Zanesville, OH 43701",,Electrician,3.9,https://www.google.com/maps/place/Electric+Service/data=!4m7!3m6!1s0x8837efb51f33aaa1:0xabec2e306824dea7!8m2!3d39.909749!4d-82.018047!16s%2Fg%2F1tvtb_sx!19sChIJoaozH7XvN4gRp94kaDAu7Ks?authuser=0&hl=en&rclk=1
Thorne Plumbing Heating & AC INC.,Info@thorneplumbing.com,,"
(740) 452-8217",,"
212 Van Horn Ave, Zanesville, OH 43701",http://www.thorneplumbing.com/,HVAC contractor,4.5,https://www.google.com/maps/place/Thorne+Plumbing+Heating+%26+AC+INC./data=!4m7!3m6!1s0x8837edd3c36492e1:0x1d2e2a58d4f12d1!8m2!3d39.9575637!4d-82.0008111!16s%2Fg%2F1tlqqnbx!19sChIJ4ZJkw9PtN4gR0RJPjaXi0gE?authuser=0&hl=en&rclk=1
Sagle Auto Electric and Heavy Equipment parts,,,"
(740) 454-1357",,"
1116 Hall Ave, Zanesville, OH 43701",,Auto electrical service,4.9,https://www.google.com/maps/place/Sagle+Auto+Electric+and+Heavy+Equipment+parts/data=!4m7!3m6!1s0x8837edd7aa311335:0xbc2a5a03679418d6!8m2!3d39.9504137!4d-81.9957717!16s%2Fg%2F1v0llfqk!19sChIJNRMxqtftN4gR1hiUZwNaKrw?authuser=0&hl=en&rclk=1
Master Electrical Services-Zanesvll,,,"
(740) 455-4661",,"
Zanesville, OH 43701",,Electrician,4.5,https://www.google.com/maps/place/Master+Electrical+Services-Zanesvll/data=!4m7!3m6!1s0x8837ee6e748bcb69:0x3c7a2b552450911c!8m2!3d39.9403453!4d-82.0131924!16s%2Fg%2F1tdyg8yc!19sChIJacuLdG7uN4gRHJFQJFUrejw?authuser=0&hl=en&rclk=1
Alliance Electric Services,,,"
(740) 453-1007",,"
3755 Gorsuch Rd, Nashport, OH 43830",,Electrician,4.6,https://www.google.com/maps/place/Alliance+Electric+Services/data=!4m7!3m6!1s0x88378d48863f0131:0x9be01c50fb7eaa4c!8m2!3d40.0436976!4d-82.0551593!16s%2Fg%2F1tl_mcr4!19sChIJMQE_hkiNN4gRTKp--1Ac4Js?authuser=0&hl=en&rclk=1
Humphrey Electric LLC,info@humphreyelectricoh.com,"(740) 453-6404, 740) 453-6404","
(740) 453-6404",,"
1836 Potts Ln, Zanesville, OH 43701",http://www.humphreyelectricoh.com/,Electrician,5.0,https://www.google.com/maps/place/Humphrey+Electric+LLC/data=!4m7!3m6!1s0x8837f02a891d2647:0xd56527d7e785e293!8m2!3d39.9090264!4d-82.0419268!16s%2Fg%2F1vlqqwh7!19sChIJRyYdiSrwN4gRk-KF59cnZdU?authuser=0&hl=en&rclk=1
Appleman Electric Co,,,"
(740) 453-6644",,"
4585 Tranquility Ln, Zanesville, OH 43701",,Electrician,4.5,https://www.google.com/maps/place/Appleman+Electric+Co/data=!4m7!3m6!1s0x8837ece0692c050b:0xc26754f30a161180!8m2!3d40.0145332!4d-81.9884627!16s%2Fg%2F1v5_b2nk!19sChIJCwUsaeDsN4gRgBEWCvNUZ8I?authuser=0&hl=en&rclk=1
Absolute Electric,,,"
(740) 819-3124",,"
3811 Maysville Pike, Zanesville, OH 43701",,Electrician,,https://www.google.com/maps/place/Absolute+Electric/data=!4m7!3m6!1s0x8837f00d6fb66893:0x13e2e96eac506c1a!8m2!3d39.884195!4d-82.063102!16s%2Fg%2F1tfh_7m_!19sChIJk2i2bw3wN4gRGmxQrG7p4hM?authuser=0&hl=en&rclk=1
Dor-Mar Zanesville Heating Cooling Plumbing Electric Appliances Radon,webmaster@dormarhvac.com,"740.454.2420, 740.334.4760, 43123
614.595.3098, 43055
740.334.4760, 740.817.4058, 239.376.1051, 43055
740.675.1103, 740.675.1648, 33905
239.376.1029, 614.381.1540, 239.376.1029, 614.545.8939, 740.564.6241, 740.345.6639, 43215
614.238.6689, 239.382.7077, 43701
740.454.2420, 43055
740.675.1648, 34145
239.382.7077, 34103
239.376.1051, 43017
614.545.8939, 740.675.1103, 43055
740.345.6639, (740) 345-6639, 43062
740.564.6241, 43081
614.381.1540, 614.238.6689, 614.365.1579, 43025
740.817.4058, 614.595.3098, 844.712.4822, 43068
614.365.1579, 740) 345-6639","
(740) 454-2420",,"
766 Linden Ave, Zanesville, OH 43701",https://www.dormarhvac.com/locations/muskingum-county/zanesville/,HVAC contractor,4.8,https://www.google.com/maps/place/Dor-Mar+Zanesville+Heating+Cooling+Plumbing+Electric+Appliances+Radon/data=!4m7!3m6!1s0x8837f14bb5e6f359:0xaa2e586147a66d38!8m2!3d39.9473327!4d-82.0098358!16s%2Fg%2F1hhgh6wj2!19sChIJWfPmtUvxN4gROG2mR2FYLqo?authuser=0&hl=en&rclk=1
Alan Able Heating & Cooling,,,"
(740) 453-9292",,"
2040 Ridge Rd, Zanesville, OH 43701",,HVAC contractor,4.4,https://www.google.com/maps/place/Alan+Able+Heating+%26+Cooling/data=!4m7!3m6!1s0x8837ef597c14413d:0xe1e473562f62b7a4!8m2!3d39.9328143!4d-82.0334442!16s%2Fg%2F11h5n1gr3x!19sChIJPUEUfFnvN4gRpLdiL1Zz5OE?authuser=0&hl=en&rclk=1
"Ables, Inc. Heating, Cooling, Electrical & Refrigeration",,"740) 439-2186, (740) 453-6015, 740) 453-6015, (740) 439-2186","
(740) 453-6015",,"
3370 E Pike, Zanesville, OH 43701",https://www.ablesinc.com/,HVAC contractor,4.7,"https://www.google.com/maps/place/Ables,+Inc.+Heating,+Cooling,+Electrical+%26+Refrigeration/data=!4m7!3m6!1s0x8837ef44f57d822d:0x705187d89d0f007d!8m2!3d39.9527327!4d-81.9400359!16s%2Fg%2F1v3h_n37!19sChIJLYJ99UTvN4gRfQAPndiHUXA?authuser=0&hl=en&rclk=1"
Fello Electric,"justin@felloelectric.com, kayla@felloelectric.com","740-607-9760, 740-400-0780","
(740) 400-0780",,"
2203 Hazel Ave, Zanesville, OH 43701",http://felloelectric.com/,Electrician,4.9,https://www.google.com/maps/place/Fello+Electric/data=!4m7!3m6!1s0x8837ed7697299cf9:0xec03e0850039e6ba!8m2!3d39.9648366!4d-82.0141693!16s%2Fg%2F11sdn794n4!19sChIJ-Zwpl3btN4gRuuY5AIXgA-w?authuser=0&hl=en&rclk=1
