name,email,scraped_phone,original_phone,contact_name,address,website,category,rating,url
Todd Plumbing Co.,"mail@demolink.org, toddplumbing.bob@gmail.com","(740) 453-2081, 740) 453-2081, 740) 453-2081
2032","
(740) 453-2081",,"
2032 Tannehill St Rear, Zanesville, OH 43701",https://www.toddplumbingco.com/,Plumber,4.5,"https://www.google.com/maps/place/Todd+Plumbing+Co./@39.963012,-82.017596,17z/data=!3m1!4b1!4m6!3m5!1s0x8837edc2b984b599:0xe2275353a6b1c048!8m2!3d39.963012!4d-82.017596!16s%2Fg%2F1tgj9g_g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Tekton Construction Services,,"740) 680-0367, (740) 680-0367","
(740) 680-0367",,"
527 Main St, Zanesville, OH 43701",https://www.tektoncs.com/,Construction company,5.0,https://www.google.com/maps/place/Tekton+Construction+Services/data=!4m7!3m6!1s0x8837ef3c20cf11af:0x738496cfd5f3c23c!8m2!3d39.9403323!4d-82.0055401!16s%2Fg%2F11ty4hntsw!19sChIJrxHPIDzvN4gRPMLz1c-WhHM?authuser=0&hl=en&rclk=1
BC's Construction and Maintenance Services,,,"
(304) 288-0810",,"
3145 Snyder Ave, Zanesville, OH 43701",https://business.google.com/u/2/edit/l/12104294963922729598,Construction company,,"https://www.google.com/maps/place/BC's+Construction+and+Maintenance+Services/@39.9829558,-81.9801713,17z/data=!3m1!4b1!4m6!3m5!1s0x8837ed2c0fb657fb:0xd56393fd13872c18!8m2!3d39.9829558!4d-81.9801713!16s%2Fg%2F11j8vtw5h6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Beeline Home Services,Dale@beelinehomeservice.com,"(740) 200-0281, 740) 200-0281","
(740) 200-0281",,"
600 Sand Ridge Rd, Zanesville, OH 43701",https://beelinehomeservice.com/,Handyman/Handywoman/Handyperson,4.9,"https://www.google.com/maps/place/Beeline+Home+Services/@39.9601905,-82.1438443,17z/data=!3m1!4b1!4m6!3m5!1s0x68edbb1d85664f45:0xd0ea509687e88467!8m2!3d39.9601905!4d-82.1438443!16s%2Fg%2F11sk9ky9m9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Myers Construction Services,,,"
(740) 607-4184",,"
6145 Rollins Dr, Nashport, OH 43830",,Bathroom remodeler,5.0,"https://www.google.com/maps/place/Myers+Construction+Services/@40.033715,-82.0487236,17z/data=!3m1!4b1!4m6!3m5!1s0x8837f371bcf1416d:0x4907b3c895dcf5d!8m2!3d40.033715!4d-82.0487236!16s%2Fg%2F11g4f_sj1y?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Welco Construction,,,"
(740) 487-4851",,"
110 Sunrise Center Dr, Zanesville, OH 43701",,Contractor,,"https://www.google.com/maps/place/Welco+Construction/@39.946521,-81.981139,17z/data=!3m1!4b1!4m6!3m5!1s0x8837ef163d9096e7:0x6b58f3c733cb9ef9!8m2!3d39.946521!4d-81.981139!16s%2Fg%2F11hjm6kt6g?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
AAA Spa & Pool Services,customerservice@aaaspapool.com,740-453-4931,"
(740) 453-4931",,"
1735 Maple Ave, Zanesville, OH 43701",http://aaaspapool.com/,Swimming pool contractor,4.5,"https://www.google.com/maps/place/AAA+Spa+%26+Pool+Services/@39.9601172,-82.0105869,17z/data=!3m1!4b1!4m6!3m5!1s0x8837eddadabe1e95:0x924fec18f084c703!8m2!3d39.9601172!4d-82.0105869!16s%2Fg%2F1tghdt5w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
APG Architects,cryan@APG-Architects.com,740.454.3211,"
(740) 454-3211",,"
26 N 3rd St, Zanesville, OH 43701",http://www.apg-architects.com/,Architecture firm,5.0,"https://www.google.com/maps/place/APG+Architects/@39.9408971,-82.0087454,16z/data=!3m1!4b1!4m6!3m5!1s0x8837edb0a2fa5985:0x6fd8b771e7f9375!8m2!3d39.9408971!4d-82.0087454!16s%2Fg%2F11gxx946m0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Coconis Furniture & Mattress 1st,"shoppingcart@coconisfurniture.com, info2@coconisfurniture.com",,"
(740) 452-1231",,"
4 S Maysville Ave, South Zanesville, OH 43701",http://www.coconisfurniture.com/,Furniture store,4.7,"https://www.google.com/maps/place/Coconis+Furniture+%26+Mattress+1st/@39.9027648,-82.0201586,17z/data=!3m1!4b1!4m6!3m5!1s0x8837efc838a34c8d:0x8aed2e8ac226c800!8m2!3d39.9027648!4d-82.0201586!16s%2Fg%2F1tfkrfh6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Mccurdy's Services,,,"
(740) 704-4895",,"
Nashport, OH 43830",,Handyman/Handywoman/Handyperson,3.7,"https://www.google.com/maps/place/Mccurdy's+Services/@40.0538592,-82.1604849,10z/data=!3m1!4b1!4m6!3m5!1s0x88378b3000000001:0x68b9e4ff318e286e!8m2!3d40.0538592!4d-82.1604849!16s%2Fg%2F1tgw5pmy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Moore Home Services LLC,,"740) 405-2047, (740) 405-2047","
(740) 405-2047",,"
3271 Broadvue Cir, Zanesville, OH 43701",https://www.moorehomeservicesoh.com/,Pressure washing service,5.0,"https://www.google.com/maps/place/Moore+Home+Services+LLC/@39.8882718,-82.0514826,17z/data=!3m1!4b1!4m6!3m5!1s0x8837f11606b96917:0x532cf8c74748b6ab!8m2!3d39.8882718!4d-82.0514826!16s%2Fg%2F11j0rtxg_z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Lil RIFFS HANDYMAN SERVICES,,,"
(220) 201-9389",,"
1049 Greenwood Ave, Zanesville, OH 43701",,Handyman/Handywoman/Handyperson,3.8,"https://www.google.com/maps/place/Lil+RIFFS+HANDYMAN+SERVICES/@39.9410311,-81.997722,17z/data=!3m1!4b1!4m6!3m5!1s0x8837edd047fbb8f5:0xa3482d9bd268f702!8m2!3d39.9410311!4d-81.997722!16s%2Fg%2F11jd6dysxh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
,,,"
(740) 647-7795",,"
1584 Ridge Ave, Zanesville, OH 43701",,Contractor,,"https://www.google.com/maps/place/Toombs+Residential+Home+Improvement/@39.9349347,-82.0268228,17z/data=!3m1!4b1!4m6!3m5!1s0x8837ee5b1f4cbbf3:0x7d29027898ebb70!8m2!3d39.9349347!4d-82.0268228!16s%2Fg%2F11c6_jc9yz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Ashley Moyer Interior Design,"c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, ashley@ashleymoyer.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com","(740) 704-1582, 740) 704-1582
440","
(740) 704-1582",,"
625 Forest Ave, Zanesville, OH 43701",http://ashleymoyer.com/,Interior designer,4.7,"https://www.google.com/maps/place/Ashley+Moyer+Interior+Design/@39.9554651,-82.0113597,17z/data=!3m1!4b1!4m6!3m5!1s0x8837eda374765ae9:0xd45a5ebbf3afca97!8m2!3d39.9554651!4d-82.0113597!16s%2Fg%2F11b7jfrn57?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Bath Fitter,"details-window-shower-rendering@2x-scaled.jpg, faucet-shower-straight-view@2x-scaled.jpg, safety-seat-pearl-decor@2x-scaled.jpg","055-043646, 1-844-915-1086, 420213000044, 877-817-0816, 4202130000, 0823-19-2078, 844-915-1086, 2705146537, 2710064024, 058-198946, 2705155694","
(740) 324-7125",,"
878 Dryden Rd, Zanesville, OH 43701","https://www.bath-fitter.com/consultation?source=15045&phone=1-844-915-1086&location=Zanesville,%20OH",Bathroom remodeler,4.8,https://www.google.com/maps/place/Bath+Fitter/data=!4m7!3m6!1s0x8837ee3b7266c215:0x41314d5b3ee98b2f!8m2!3d39.9267858!4d-82.0266108!16s%2Fg%2F1tlwg9bd!19sChIJFcJmcjvuN4gRL4vpPltNMUE?authuser=0&hl=en&rclk=1
Cydney's Colors,,,"
(740) 891-7447",,"
1671adamsville rd, Zanesville, OH 43701",,Painting,5.0,"https://www.google.com/maps/place/Cydney's+Colors/@39.9594498,-81.9811444,17z/data=!3m1!4b1!4m6!3m5!1s0x8837ed5125fde18f:0x980a667075c6b71!8m2!3d39.9594498!4d-81.9811444!16s%2Fg%2F11r48vhbf5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
Moore Home Services LLC,,"740) 405-2047, (740) 405-2047","
(740) 405-2047",,"
3271 Broadvue Cir, Zanesville, OH 43701",https://www.moorehomeservicesoh.com/,Pressure washing service,5.0,"https://www.google.com/maps/place/Moore+Home+Services+LLC/@39.8882718,-82.0514826,17z/data=!3m1!4b1!4m6!3m5!1s0x8837f11606b96917:0x532cf8c74748b6ab!8m2!3d39.8882718!4d-82.0514826!16s%2Fg%2F11j0rtxg_z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D"
G & M Construction Inc.,,,"
(740) 452-0153",,"
703 Pershing Rd, Zanesville, OH 43701",,Home builder,5.0,https://www.google.com/maps/place/G+%26+M+Construction+Inc./data=!4m7!3m6!1s0x8837ee46e9a12acd:0xc54712f06d28735b!8m2!3d39.9253303!4d-82.0154612!16s%2Fg%2F1xtf26w0!19sChIJzSqh6UbuN4gRW3MobfASR8U?authuser=0&hl=en&rclk=1
HNR Homes,"hnrhomes@columbus.rr.com, your@email.com","740-452-4592, 740-819-2169","
(740) 452-4592",,"
4375 Roseville Rd, Zanesville, OH 43701",https://www.hnrhomes.net/,Home builder,5.0,https://www.google.com/maps/place/HNR+Homes/data=!4m7!3m6!1s0x8837fa9f4919ca53:0x44f1e6d3c2ccb7ef!8m2!3d39.8698089!4d-82.064593!16s%2Fg%2F126052s__!19sChIJU8oZSZ_6N4gR77fMwtPm8UQ?authuser=0&hl=en&rclk=1
Susan handyman,,,,,"
233 Sullivan St, Zanesville, OH 43701",,Contractor,,https://www.google.com/maps/place/Susan+handyman/data=!4m7!3m6!1s0x8837ef37feb33487:0xc9f38a206a412dfc!8m2!3d39.9361311!4d-82.0164231!16s%2Fg%2F11y3ng106g!19sChIJhzSz_jfvN4gR_C1BaiCK88k?authuser=0&hl=en&rclk=1
J & M Construction,,,"
(740) 454-8986",,"
8780 Hopewell National Rd, Hopewell, OH 43746",,Construction company,4.8,https://www.google.com/maps/place/J+%26+M+Construction/data=!4m7!3m6!1s0x8837f69b874b1709:0xe432a2172ce47496!8m2!3d39.9565782!4d-82.1562219!16s%2Fg%2F1tmcmxcb!19sChIJCRdLh5v2N4gRlnTkLBeiMuQ?authuser=0&hl=en&rclk=1
Elysa Roberts Interiors,"9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, elysa@elysarobertsinteriors.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io",740.319.2822,"
(740) 319-2822",,"
406 Olive St, Zanesville, OH 43701",http://www.elysarobertsinteriors.com/,Interior designer,5.0,https://www.google.com/maps/place/Elysa+Roberts+Interiors/data=!4m7!3m6!1s0x8837edfe75928d7b:0x272246ec214185c6!8m2!3d39.9609094!4d-82.0041365!16s%2Fg%2F11ff2b2l2z!19sChIJe42Sdf7tN4gRxoVBIexGIic?authuser=0&hl=en&rclk=1
Refined Construction LLC,eben@eyebytes.com,740-739-0499,"
(740) 739-0499",,"
10410 Black Run Rd, Frazeysburg, OH 43822",http://www.refinedconstructionllc.com/,General contractor,4.9,https://www.google.com/maps/place/Refined+Construction+LLC/data=!4m7!3m6!1s0x88378b3d64f99f2b:0xe7ef66e083ccde54!8m2!3d40.1160151!4d-82.1841797!16s%2Fg%2F11sbc3bmjk!19sChIJK5_5ZD2LN4gRVN7Mg-Bm7-c?authuser=0&hl=en&rclk=1
"Drakes Handyman Service LLC - Local Home Handyman and House Remodeling Services Zanesville, OH",,,"
(740) 825-5888",,"
425 Sherman Ave, Cambridge, OH 43725",,Handyman/Handywoman/Handyperson,3.7,"https://www.google.com/maps/place/Drakes+Handyman+Service+LLC+-+Local+Home+Handyman+and+House+Remodeling+Services+Zanesville,+OH/data=!4m7!3m6!1s0x8837ef56c07f0e9f:0xf93e803dbb75ee84!8m2!3d40.0344754!4d-81.5956478!16s%2Fg%2F11j98703d4!19sChIJnw5_wFbvN4gRhO51uz2APvk?authuser=0&hl=en&rclk=1"
Triple H Services llc,,,"
(740) 868-1298",,,,Handyman/Handywoman/Handyperson,5.0,https://www.google.com/maps/place/Triple+H+Services+llc/data=!4m7!3m6!1s0x8837f19449e08a99:0xa96eadbb3eee535f!8m2!3d39.9662765!4d-82.0166266!16s%2Fg%2F11hy_44w2f!19sChIJmYrgSZTxN4gRX1PuPrutbqk?authuser=0&hl=en&rclk=1
Fello Electric,"justin@felloelectric.com, kayla@felloelectric.com","740-607-9760, 740-400-0780","
(740) 400-0780",,"
2203 Hazel Ave, Zanesville, OH 43701",http://felloelectric.com/,Electrician,4.9,https://www.google.com/maps/place/Fello+Electric/data=!4m7!3m6!1s0x8837ed7697299cf9:0xec03e0850039e6ba!8m2!3d39.9648366!4d-82.0141693!16s%2Fg%2F11sdn794n4!19sChIJ-Zwpl3btN4gRuuY5AIXgA-w?authuser=0&hl=en&rclk=1
G-Tech Plumbing,"20admin@gtechoh.com, admin@gtechoh.com","(740) 644-9186, 740) 644-9186","
(740) 644-9186",,"
74 Audubon Dr, Zanesville, OH 43701",https://zanesville.gtechoh.com/,Plumber,5.0,https://www.google.com/maps/place/G-Tech+Plumbing/data=!4m7!3m6!1s0x66b7c5cc83913579:0x533858657235d2b0!8m2!3d39.9062443!4d-82.0212362!16s%2Fg%2F11kh_h2kh2!19sChIJeTWRg8zFt2YRsNI1cmVYOFM?authuser=0&hl=en&rclk=1
Kitchen Saver,wpwebpro18@gmail.com,"43701
1-844-806, 866-936-0602, 46239
1-844-806, 08091
1-844-806, 0158230795, 2013605887, 21117
1-844-806, 17756
1-844-806, 43085
1-844-806, 844-789-0232, 45241
1-844-806, 18640
1-844-806, 17319
1-844-806, 15205
1-844-806, 1-844-789-0232, 844-806-3377, 32256
1-844-806, 33760
1-844-806, 44146
1-844-806, 0158230795-002, 1-844-806-3377, 19702
1-844-806, 28273
1-844-806, 19403
1-844-806, 43528
1-844-806, 29651
1-844-806, 07004
1-844-806, 18103
1-844-806, 40299
1-844-806, 22079
1-844-806, 32808
1-844-806, 16630
1-844-806","
(844) 312-7273",,"
878 Dryden Rd, Zanesville, OH 43701",https://www.kitchensaver.com/,Kitchen remodeler,4.0,https://www.google.com/maps/place/Kitchen+Saver/data=!4m7!3m6!1s0x8837ee3b8366eaf7:0x874bf46e7ae1f0f8!8m2!3d39.9268364!4d-82.0267663!16s%2Fg%2F11ckvfczxd!19sChIJ9-pmgzvuN4gR-PDhem70S4c?authuser=0&hl=en&rclk=1
Northpointe Cabinetry,,,"
(740) 455-4045",,"
4800 Frazeysburg Rd, Zanesville, OH 43701",,Cabinet maker,3.8,https://www.google.com/maps/place/Northpointe+Cabinetry/data=!4m7!3m6!1s0x8837edd6c9106e6f:0x9dce2da09efe80f9!8m2!3d40.012898!4d-82.0402143!16s%2Fg%2F1tcxqb6l!19sChIJb24QydbtN4gR-YD-nqAtzp0?authuser=0&hl=en&rclk=1
T & K Construction Services,mapdetailscom@gmail.com,"(555) 123-4567, +1 (555) 123-4567","
(740) 849-9776",,"
3135 Stine Rd, Zanesville, OH 43701",https://americatopbusi.top/details/t-k-construction-services-ChIJ47V,General contractor,3.0,https://www.google.com/maps/place/T+%26+K+Construction+Services/data=!4m7!3m6!1s0x8837f0bd0362b5e3:0xf0eaefefc6d58376!8m2!3d39.8889885!4d-82.1082515!16s%2Fg%2F11c2yfk134!19sChIJ47ViA73wN4gRdoPVxu_v6vA?authuser=0&hl=en&rclk=1
Swingle Countertops,info@email.com,"(740) 454-7368, 740) 454-7368","
(740) 454-7368",,"
18 Beaumont St, Zanesville, OH 43701",http://www.swinglecountertops.com/,Countertop store,4.5,https://www.google.com/maps/place/Swingle+Countertops/data=!4m7!3m6!1s0x8837ee5d0a336b8d:0x8e7ed805262a04bb!8m2!3d39.9404074!4d-82.0178153!16s%2Fg%2F1tczfklv!19sChIJjWszCl3uN4gRuwQqJgXYfo4?authuser=0&hl=en&rclk=1
"Landscape, Decks & More",ronmiraclesr@gmail.com,,,,"
462 Military Rd, Zanesville, OH 43701",https://landscape-decks-more.ueniweb.com/,Contractor,5.0,"https://www.google.com/maps/place/Landscape,+Decks+%26+More/data=!4m7!3m6!1s0x8837ed72cdcece39:0x96b00a2c38a64904!8m2!3d39.9788775!4d-82.0053815!16s%2Fg%2F11fn7783hh!19sChIJOc7OzXLtN4gRBEmmOCwKsJY?authuser=0&hl=en&rclk=1"
"McPeek Land Surveying, LLC.",brian@mcpeeklandsurveying.com,,"
(740) 704-6073",,"
1705 E Pike, Zanesville, OH 43701",http://www.mcpeeklandsurveying.com/,Land surveyor,3.8,"https://www.google.com/maps/place/McPeek+Land+Surveying,+LLC./data=!4m7!3m6!1s0x8837eea5495248dd:0xf9ea06ab300c23b3!8m2!3d39.9430466!4d-81.9810817!16s%2Fg%2F11bw43vps6!19sChIJ3UhSSaXuN4gRsyMMMKsG6vk?authuser=0&hl=en&rclk=1"
Am Roofing And Siding LLC,,"(740) 908-8618, (740) 306-0908, (740) 265-2517, 740) 908-8618, 740) 306-0908, 740) 265-2517","
(740) 974-8268",,"
1735 Nob Hill Rd, Zanesville, OH 43701",https://amroofingandsiding.com/,Roofing contractor,4.9,https://www.google.com/maps/place/Am+Roofing+And+Siding+LLC/data=!4m7!3m6!1s0x8837edbff1b05c49:0x183a972ca1e16546!8m2!3d39.9845845!4d-82.0383085!16s%2Fg%2F11swk0vc15!19sChIJSVyw8b_tN4gRRmXhoSyXOhg?authuser=0&hl=en&rclk=1
K E Dittmar Company Inc.,"Info@dittmarconstruction.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io","1-740-453-9974, 740-453-9974","
(740) 453-9974",,"
565 Fairview Rd, Zanesville, OH 43701",http://www.dittmarconstruction.com/,Construction company,4.3,https://www.google.com/maps/place/K+E+Dittmar+Company+Inc./data=!4m7!3m6!1s0x8837ed14a629799b:0xd0d920871fc8d050!8m2!3d40.0081806!4d-81.9902236!16s%2Fg%2F1tcw8vjz!19sChIJm3kpphTtN4gRUNDIH4cg2dA?authuser=0&hl=en&rclk=1
Advanced Vinyl Distributors Corporation,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, info@advancedvinyldistributors.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com","740-454-2727, 740-454-1426, 888-236-2399","
(740) 454-2727",,"
4470 Coopermill Rd, Zanesville, OH 43701",https://www.advancedvinyldistributors.com/contact,Siding contractor,3.4,https://www.google.com/maps/place/Advanced+Vinyl+Distributors+Corporation/data=!4m7!3m6!1s0x8837f055c2973fc1:0x52ace5450855172d!8m2!3d39.9129629!4d-82.0816453!16s%2Fg%2F1tfh_7n0!19sChIJwT-XwlXwN4gRLRdVCEXlrFI?authuser=0&hl=en&rclk=1
